Sets_Ops/sec,Sets_Hits/sec,Sets_Misses/sec,Sets_Avg_Latency,Sets_p50_Latency,Sets_p99_Latency,Sets_p100_Latency,Sets_KB/sec,Gets_Ops/sec,Gets_Hits/sec,Gets_Misses/sec,Gets_Avg_Latency,Gets_p50_Latency,Gets_p99_Latency,Gets_p100_Latency,Gets_KB/sec,Waits_Ops/sec,Waits_Hits/sec,Waits_Misses/sec,Waits_Avg_Latency,Waits_p50_Latency,Waits_p99_Latency,Waits_p100_Latency,Waits_KB/sec,Totals_Ops/sec,Totals_Hits/sec,Totals_Misses/sec,Totals_Avg_Latency,Totals_p50_Latency,Totals_p99_Latency,Totals_p100_Latency,Totals_KB/sec,,,,,,,
16.15,,,123.813,1.26,0,0,0,0,0,0,,,0,,16.15,0,0,123.813,1.26,,,,,,,,,,,,,,,,,,,
45760.31,,,0.042,3575.02,0,0,0,0,0,0,,,0,,45760.31,0,0,0.042,3575.02,,,,,,,,,,,,,,,,,,,
28.65,,,69.981,2.24,0,0,0,0,0,0,,,0,,28.65,0,0,69.981,2.24,,,,,,,,,,,,,,,,,,,
48935.29,,,0.039,3823.07,0,0,0,0,0,0,,,0,,48935.29,0,0,0.039,3823.07,,,,,,,,,,,,,,,,,,,
45344.38,,,0.043,3542.53,0,0,0,0,0,0,,,0,,45344.38,0,0,0.043,3542.53,,,,,,,,,,,,,,,,,,,
47144.35,,,0.041,3683.15,0,0,0,0,0,0,,,0,,47144.35,0,0,0.041,3683.15,,,,,,,,,,,,,,,,,,,
44545.61,,,0.043,3480.13,0,0,0,0,0,0,,,0,,44545.61,0,0,0.043,3480.13,,,,,,,,,,,,,,,,,,,
42432.3,,,0.046,3315.02,0,0,0,0,0,0,,,0,,42432.3,0,0,0.046,3315.02,,,,,,,,,,,,,,,,,,,
16.86,,,118.647,1.32,0,0,0,0,0,0,,,0,,16.86,0,0,118.647,1.32,,,,,,,,,,,,,,,,,,,
40612.68,,,0.048,3172.87,0,0,0,0,0,0,,,0,,40612.68,0,0,0.048,3172.87,,,,,,,,,,,,,,,,,,,
48414.08,,,0.04,3782.35,0,0,0,0,0,0,,,0,,48414.08,0,0,0.04,3782.35,,,,,,,,,,,,,,,,,,,
44346.19,,,0.043,3464.55,0,0,0,0,0,0,,,0,,44346.19,0,0,0.043,3464.55,,,,,,,,,,,,,,,,,,,
49521.25,,,0.039,3868.85,0,0,0,0,0,0,,,0,,49521.25,0,0,0.039,3868.85,,,,,,,,,,,,,,,,,,,
16.79,,,119.098,1.31,0,0,0,0,0,0,,,0,,16.79,0,0,119.098,1.31,,,,,,,,,,,,,,,,,,,
42603.41,,,0.045,3328.39,0,0,0,0,0,0,,,0,,42603.41,0,0,0.045,3328.39,,,,,,,,,,,,,,,,,,,
17.03,,,117.452,1.33,0,0,0,0,0,0,,,0,,17.03,0,0,117.452,1.33,,,,,,,,,,,,,,,,,,,
42343.9,,,0.045,3308.12,0,0,0,0,0,0,,,0,,42343.9,0,0,0.045,3308.12,,,,,,,,,,,,,,,,,,,
34451.28,,,0.056,2691.51,0,0,0,0,0,0,,,0,,34451.28,0,0,0.056,2691.51,,,,,,,,,,,,,,,,,,,
16.96,,,117.906,1.33,0,0,0,0,0,0,,,0,,16.96,0,0,117.906,1.33,,,,,,,,,,,,,,,,,,,
47180.49,,,0.041,3685.98,0,0,0,0,0,0,,,0,,47180.49,0,0,0.041,3685.98,,,,,,,,,,,,,,,,,,,
16.94,,,118.033,1.32,0,0,0,0,0,0,,,0,,16.94,0,0,118.033,1.32,,,,,,,,,,,,,,,,,,,
46317.74,,,0.042,3618.57,0,0,0,0,0,0,,,0,,46317.74,0,0,0.042,3618.57,,,,,,,,,,,,,,,,,,,
49461.49,,,0.039,3864.18,0,0,0,0,0,0,,,0,,49461.49,0,0,0.039,3864.18,,,,,,,,,,,,,,,,,,,
22.98,,,86.963,1.8,0,0,0,0,0,0,,,0,,22.98,0,0,86.963,1.8,,,,,,,,,,,,,,,,,,,
46561,,,0.041,3637.58,0,0,0,0,0,0,,,0,,46561,0,0,0.041,3637.58,,,,,,,,,,,,,,,,,,,
46011.81,,,0.042,3594.67,0,0,0,0,0,0,,,0,,46011.81,0,0,0.042,3594.67,,,,,,,,,,,,,,,,,,,
17.11,,,116.848,1.34,0,0,0,0,0,0,,,0,,17.11,0,0,116.848,1.34,,,,,,,,,,,,,,,,,,,
28.15,,,71.012,2.2,0,0,0,0,0,0,,,0,,28.15,0,0,71.012,2.2,,,,,,,,,,,,,,,,,,,
49560.03,,,0.039,3871.88,0,0,0,0,0,0,,,0,,49560.03,0,0,0.039,3871.88,,,,,,,,,,,,,,,,,,,
45613.26,,,0.042,3563.54,0,0,0,0,0,0,,,0,,45613.26,0,0,0.042,3563.54,,,,,,,,,,,,,,,,,,,
30377.18,,,0.063,2373.22,0,0,0,0,0,0,,,0,,30377.18,0,0,0.063,2373.22,,,,,,,,,,,,,,,,,,,
44215.8,,,0.043,3454.36,0,0,0,0,0,0,,,0,,44215.8,0,0,0.043,3454.36,,,,,,,,,,,,,,,,,,,
26.58,,,75.151,2.08,0,0,0,0,0,0,,,0,,26.58,0,0,75.151,2.08,,,,,,,,,,,,,,,,,,,
46373.26,,,0.042,3622.91,0,0,0,0,0,0,,,0,,46373.26,0,0,0.042,3622.91,,,,,,,,,,,,,,,,,,,
17.02,,,117.498,1.33,0,0,0,0,0,0,,,0,,17.02,0,0,117.498,1.33,,,,,,,,,,,,,,,,,,,
44875.05,,,0.043,3505.86,0,0,0,0,0,0,,,0,,44875.05,0,0,0.043,3505.86,,,,,,,,,,,,,,,,,,,
47826.18,,,0.04,3736.42,0,0,0,0,0,0,,,0,,47826.18,0,0,0.04,3736.42,,,,,,,,,,,,,,,,,,,
45712.2,,,0.042,3571.27,0,0,0,0,0,0,,,0,,45712.2,0,0,0.042,3571.27,,,,,,,,,,,,,,,,,,,
49826.85,,,0.038,3892.72,0,0,0,0,0,0,,,0,,49826.85,0,0,0.038,3892.72,,,,,,,,,,,,,,,,,,,
46081.04,,,0.042,3600.08,0,0,0,0,0,0,,,0,,46081.04,0,0,0.042,3600.08,,,,,,,,,,,,,,,,,,,
43085.81,,,0.045,3366.08,0,0,0,0,0,0,,,0,,43085.81,0,0,0.045,3366.08,,,,,,,,,,,,,,,,,,,
31978.15,,,0.059,2498.29,0,0,0,0,0,0,,,0,,31978.15,0,0,0.059,2498.29,,,,,,,,,,,,,,,,,,,
33.51,,,59.676,2.62,0,0,0,0,0,0,,,0,,33.51,0,0,59.676,2.62,,,,,,,,,,,,,,,,,,,
47020.43,,,0.041,3673.47,0,0,0,0,0,0,,,0,,47020.43,0,0,0.041,3673.47,,,,,,,,,,,,,,,,,,,
17.04,,,117.337,1.33,0,0,0,0,0,0,,,0,,17.04,0,0,117.337,1.33,,,,,,,,,,,,,,,,,,,
46702.02,,,0.041,3648.6,0,0,0,0,0,0,,,0,,46702.02,0,0,0.041,3648.6,,,,,,,,,,,,,,,,,,,
48499.43,,,0.04,3789.02,0,0,0,0,0,0,,,0,,48499.43,0,0,0.04,3789.02,,,,,,,,,,,,,,,,,,,
48690.59,,,0.04,3803.95,0,0,0,0,0,0,,,0,,48690.59,0,0,0.04,3803.95,,,,,,,,,,,,,,,,,,,
44038.51,,,0.044,3440.51,0,0,0,0,0,0,,,0,,44038.51,0,0,0.044,3440.51,,,,,,,,,,,,,,,,,,,
43352.91,,,0.044,3386.95,0,0,0,0,0,0,,,0,,43352.91,0,0,0.044,3386.95,,,,,,,,,,,,,,,,,,,
48163.99,,,0.04,3762.81,0,0,0,0,0,0,,,0,,48163.99,0,0,0.04,3762.81,,,,,,,,,,,,,,,,,,,
